model,retrieval_technique,chunking_technique,breakpoint_percentile_threshold,rerank,top_k,answer_relevancy,context_precision,faithfulness,context_recall,average_score,answer_relevancy_nulls,context_precision_nulls,faithfulness_nulls,context_recall_nulls
qwen3,none,sentence_splitter,,True,10,0.84,0.9,0.81,0.94,0.8724999999999999,15,30,36,1
lenia,none,sentence_splitter,,True,5,0.8,0.97,0.75,0.93,0.8625,28,0,12,2
lenia,none,sentence_splitter,,False,10,0.79,0.97,0.75,0.94,0.8624999999999999,47,1,10,4
lenia,HyDE,sentence_splitter,,True,10,0.79,0.96,0.76,0.94,0.8624999999999999,30,0,13,0
lenia,none,semantic,85.0,True,5,0.8,0.96,0.73,0.95,0.8600000000000001,56,16,17,2
lenia,HyDE,semantic,95.0,True,5,0.81,0.96,0.72,0.94,0.8575,39,2,7,4
lenia,HyDE,sentence_splitter,,True,5,0.79,0.97,0.74,0.93,0.8575,55,0,12,2
lenia,query_rewriting,sentence_splitter,,True,5,0.79,0.96,0.76,0.92,0.8574999999999999,43,0,9,3
lenia,none,semantic,95.0,True,10,0.81,0.94,0.73,0.95,0.8574999999999999,38,1,14,4
lenia,HyDE,semantic,95.0,True,10,0.8,0.94,0.75,0.93,0.8550000000000001,47,1,12,8
lenia,none,semantic,85.0,True,10,0.81,0.93,0.74,0.94,0.8550000000000001,57,34,29,11
lenia,query_rewriting,sentence_splitter,,True,10,0.8,0.94,0.74,0.94,0.855,33,0,12,3
lenia,none,semantic,95.0,True,5,0.78,0.96,0.74,0.94,0.855,47,3,7,3
lenia,none,semantic,95.0,False,5,0.8,0.96,0.74,0.92,0.855,33,0,8,1
lenia,none,semantic,95.0,False,10,0.79,0.95,0.76,0.92,0.855,43,1,20,3
lenia,query_rewriting,semantic,95.0,True,5,0.8,0.95,0.71,0.95,0.8525,53,1,10,3
lenia,none,sentence_splitter,,True,10,0.81,0.96,0.71,0.93,0.8525,30,0,18,4
lenia,none,semantic,80.0,True,5,0.83,0.95,0.69,0.94,0.8524999999999999,49,16,18,3
lenia,none,semantic,80.0,True,10,0.8,0.94,0.71,0.95,0.8500000000000001,60,30,22,7
lenia,none,sentence_splitter,,False,5,0.8,0.96,0.71,0.93,0.85,32,1,10,3
lenia,HyDE,semantic,95.0,False,10,0.78,0.93,0.74,0.94,0.8475,29,0,12,3
lenia,HyDE,sentence_splitter,,False,5,0.79,0.95,0.73,0.92,0.8474999999999999,40,1,10,2
lenia,query_rewriting,semantic,85.0,True,5,0.78,0.95,0.72,0.93,0.8450000000000001,50,18,24,4
lenia,HyDE,sentence_splitter,,False,10,0.78,0.95,0.72,0.93,0.8450000000000001,45,0,6,3
lenia,HyDE,semantic,95.0,False,5,0.8,0.97,0.7,0.91,0.845,43,0,12,2
lenia,query_rewriting,semantic,95.0,True,10,0.8,0.93,0.71,0.93,0.8425,44,2,15,7
lenia,query_rewriting,semantic,85.0,True,10,0.82,0.92,0.69,0.93,0.84,61,37,23,9
lenia,query_rewriting,sentence_splitter,,False,5,0.79,0.95,0.7,0.89,0.8325,53,0,12,1
lenia,query_rewriting,semantic,95.0,False,5,0.78,0.92,0.71,0.92,0.8325,55,2,8,2
lenia,query_rewriting,semantic,95.0,False,10,0.79,0.91,0.68,0.94,0.8300000000000001,38,3,11,9
qwen,none,sentence_splitter,,True,5,0.8,0.96,0.61,0.94,0.8275,38,5,48,6
qwen,query_rewriting,sentence_splitter,,True,5,0.78,0.96,0.62,0.95,0.8274999999999999,23,5,54,4
lenia,query_rewriting,sentence_splitter,,False,10,0.78,0.93,0.67,0.9,0.82,49,0,10,0
